Author	Year	Ecosystem	Ecosystem_Description	Matrix	Location	Residence_Time_d
Wikipedia		lake		water	Finland	912.5
Wikipedia		lake		water	Canada_United_States	949
Wikipedia		lake		water	Maine	949
Wikipedia		lake		water	Switzerland	981.85
Wikipedia		lake		water	Germany	985.5
Wikipedia		lake		water	Germany	1095
Wikipedia		lake		water	Canada	1095
Wikipedia		lake		water	Maine	1131.5
Wikipedia		lake		water	Sweden	1131.5
Wikipedia		lake		water	New_Hampshire_Maine	1204.5
Wikipedia		lake		water	Canada_United_States	1204.5
Wikipedia		lake		water	Montana	1241
Wikipedia		lake		water	Switzerland	1241
Wikipedia		lake		water	Canada	1277.5
Wikipedia		lake		water	France	1314
Wikipedia		lake		water	Switzerland	1423.5
Wikipedia		lake		water	Sweden	1460
Wikipedia		lake		water	France	1460
Wikipedia		lake		water	Italy_Switzerland	1460
Wikipedia		lake		water	Chile	1460
Wikipedia		lake		water	Switzerland	1533
Wikipedia		lake		water	Italy	1533
Wikipedia		lake		water	Germany_Switzerland_Austria	1569.5
Wikipedia		lake		water	Michigan	1606
Wikipedia		lake		water	Canada	1606
Wikipedia		lake		water	Italy	1642.5
Wikipedia		lake		water	Wisconsin	1642.5
Wikipedia		lake		water	Israel	1825
Wikipedia		lake		water	Germany	1898
Wikipedia		lake		water	Maine	1916.25
Wikipedia		lake		water	Canada	1919.9
Wikipedia		lake		water	Minnesota	2007.5
Wikipedia		lake		water	Japan	2007.5
Univ_of_Maine	2013	lake	oligotrophic_tarn	water	Maine	2190
Wikipedia		lake		water	Italy	2190
Wikipedia		lake		water	CanadaNew_York	2190
Wikipedia		lake		water	Italy	2190
Wikipedia		lake	dammed	water	Canada	2372.5
Wikipedia		lake		water	Switzerland	2482
Wikipedia		lake		water	United_Kingdom	2507.55
Wikipedia		lake	Artificial_reservoir	water	Utah_Arizona	2628
Wikipedia		lake		water	Germany	2737.5
Wikipedia		lake		water	Austria	2737.5
Wikipedia		lake		water	Canada	2737.5
Mathisen_etal	2002	lake		water	Alaska	2847
Wikipedia		lake		water	France	2920
Wikipedia		lake		water	Oregon	2920
Wikipedia		lake		water	Switzerland_Italy	2993
Wikipedia		lake		water	Switzerland	2993
Wikipedia		lake		water	Italy	3248.5
Wikipedia		lake		water	Austria	3358
Wikipedia	2007	lake		water	Canada	3686.5
Wikipedia		lake		water	Germany	3686.5
Wikipedia		lake		water	New_Zealand	3832.5
Wikipedia		lake		water	Austria	3832.5
Wikipedia		lake		water	Washington	3869
Wikipedia		lake		water	Switzerland_France	4161
Wikipedia		lake		water	New_Zealand	4380
Wikipedia		lake		water	Michigan	4562.5
Wikipedia		lake		water	Oregon	4745
Wikipedia		lake		water	Switzerland	5365.5
Wikipedia		lake		water	Germany	5475
Wikipedia		lake		water	Canada	5621
Wikipedia		lake		water	Switzerland	6168.5
Wikipedia		lake		water	New_York	6570
Wikipedia		lake		water	New_York	6643
Wikipedia		lake		water	Idaho_Utah	7154
Wikipedia		lake		water	Wisconsin	7665
Wikipedia		lake		water	Germany	7665
Wikipedia		lake		water	Canada_Michigan	8030
Wikipedia		lake		water	Italy	9782
Wikipedia		lake		water	Oregon	11680
Wikipedia		lake		water	Michigan	16425
Wikipedia		lake	Artificial_formerly_a_mill_pond	water	Michigan	17155
Wikipedia		lake		water	Canada	19272
Wikipedia		lake		water	Republic_of_Macedonia	25550
Wikipedia		lake		water	Wisconsin_Illinois_Indiana_Michigan	36135
Wikipedia		lake		water	Germany	36500
Wikipedia		lake		water	Canada	36500
Johnson	1975	lake		water	Canada	45260
Wikipedia		lake	caldera_lake	water	Oregon	57305
Wikipedia		lake		water	Canada_Wisconsin_Michigan	69715
Wikipedia		lake		water	Azerbaijan_Iran_Kazakhstan_Russia_Turkmenistan	91250
Grachev	2009	lake		water	Russia	120450
Wikipedia		lake		water	California_Nevada	237250
ILEC	2008	lake		water	Peru_Bolivia	490195
Wikipedia		lake		water	China	1825000
Wikipedia		lake	subglacial_lake_largest_known	water	Antarctica	4854500
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.48
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	4.34
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	2.99
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	1.28
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	3.03
Chazarenc_etal	2003	WWT	subsurface_horizonal_flow_artificial_wetlands	water	France	4.16
